"","species","trmt","a","ase","b","bse","c","cse","per10mean","per10se","per50mean","per50se","per90mean","per90se","type"
"65","Quma","Con",12.1018521456762,1.10353241586371,270.246126749547,1.62186018108151,-13.3297260881593,2.30959326508064,299.53452851961,4.78284143839758,270.246126749547,1.62186018108151,240.957724979483,5.82154181419849,"A"
"66","Quma","Con",10.6051124468081,1.0387563794514,300.275456101299,6.12022158357459,-12.5560847344242,2.64404775868927,327.863994074892,10.7733421934965,300.275456101299,6.12022158357459,272.686918127706,5.13336667031997,"CCI"
"67","Quma","Con",94.3920773165356,0.936021995540451,283.5553703026,3.18980836301605,-5.27335082512446,0.592934599464588,295.142106340479,4.36026389403328,283.5553703026,3.18980836301605,271.96863426472,2.1754272743262,"Percentage"
"68","Quma","con_heat",15.5082182019581,1.73186861601822,285.49102573524,11.3241762794974,-11.7541861479659,5.71524886465192,311.317612426135,22.7210459245596,285.49102573524,11.3241762794974,259.664439044344,7.45780984227958,"CCI"
"69","Quma","con_heat",92.8492601270966,1.35214913171362,285.536241750017,2.14284334759586,-4.51411132308841,0.587955598984437,295.454758093938,3.21482811332646,285.536241750017,2.14284334759586,275.617725406095,1.47861224297389,"Percentage"
"70","Quma","defol1",21.0668316293439,7.6635600604155,287.56618399436,17.3990179476583,-13.89076989439,6.60229265383645,318.087325004436,15.0710013112707,287.56618399436,17.3990179476583,257.045042984284,28.2702388147836,"CCI"
"71","Quma","defol1",75.088320494825,3.05229711074006,298.860979204775,3.4388907247523,-5.07056490680447,1.39337481550104,310.002149038984,6.33947223288339,298.860979204775,3.4388907247523,287.719809370566,1.48637073011404,"Percentage"
"72","Quma","defol2",14.1568329341695,1.01739859800259,236.524875882965,27.5489611764377,16.1296153355746,9.3948754109742,201.084488644661,47.6197037070367,236.524875882965,27.5489611764377,271.965263121269,10.1238547988207,"CCI"
"73","Quma","defol2",52.2057042699752,6.72483199038627,301.355428957933,1.79824435803151,-5.50078831495933,0.55492300529605,313.441896238286,2.44372980385591,301.355428957933,1.79824435803151,289.268961677581,1.86249527997931,"Percentage"
"74","Quma","Dro1",16.6334482223161,2.74663770242448,276.077193392624,10.1064538971506,-15.2624213102312,8.98604666893068,309.612160605124,22.3051356701607,276.077193392624,10.1064538971506,242.542226180124,22.0554177466216,"CCI"
"75","Quma","Dro1",88.6066458205224,5.03152568699512,278.328374540052,3.06755152626999,-4.72581352216024,0.430511388042274,288.71204815885,3.546330319485,278.328374540052,3.06755152626999,267.944700921253,2.83422897703025,"Percentage"
"76","Quma","Dro2",10.191247795337,1.77531061139185,278.854038683914,13.8013399429775,-8.19385143419176,8.87203590286441,296.857770438162,30.1759462703514,278.854038683914,13.8013399429775,260.850306929667,15.1785054242822,"CCI"
"77","Quma","Dro2",85.2172802143772,5.48477597455638,275.55289942913,3.75316387391115,-6.91422928155137,1.17978944769061,290.745013939893,3.17287083122393,275.55289942913,3.75316387391115,260.360784918368,5.61649510039378,"Percentage"
"78","Quma","Dro3",7.62081300347438,0.810933151264524,274.478012141102,10.4951453386007,-5.16723602305925,2.60243695740111,285.831590127865,15.9741395280985,274.478012141102,10.4951453386007,263.124434154339,5.52424041998351,"A"
"79","Quma","Dro3",9.55182883876622,1.58567890988677,282.274299323783,9.15340151511252,-6.66268768875637,3.60203052543996,296.913720464634,15.2321438143,282.274299323783,9.15340151511252,267.634878182932,7.79929382305866,"CCI"
"80","Quma","Dro3",89.4839802348357,1.77748205118716,280.973398450399,2.68539830487637,-6.60461293084342,0.749061833062282,295.485216305841,3.65622053628682,280.973398450399,2.68539830487637,266.461580594958,2.5441050466655,"Percentage"
"81","Quma","Dro4",2.1119794909981,NA,305.770104604943,NA,-4.6542180543698,NA,315.996466902286,NA,305.770104604943,NA,295.5437423076,NA,"Percentage"
"82","Quma","GS_ext",11.1501717503126,1.28438378333518,267.07137622115,6.91664852280829,-5.16429146633723,4.26399895869712,278.418484355514,15.3443398700278,267.07137622115,6.91664852280829,255.724268086786,5.98215968772267,"A"
"83","Quma","GS_ext",9.73839293308833,1.2498349073246,263.296943149421,22.5943516807179,1.9013162308221,6.89822705785713,259.11932439777,36.9929028674472,263.296943149421,22.5943516807179,267.474561901072,10.5830574133259,"CCI"
"84","Quma","GS_ext",92.3415059014291,1.28112560295456,280.165520337689,2.26090318665907,-4.72391523051069,0.391060698754879,290.54502298342,2.8570413629287,280.165520337689,2.26090318665907,269.786017691958,1.88077004283738,"Percentage"
"85","Quma","GS_ext_heat",12.9783853363616,1.71291652346106,294.865198121294,2.33245751260741,-10.7219495730069,1.4893866084229,318.423729240064,3.79322433174425,294.865198121294,2.33245751260741,271.306667002523,4.23212694501769,"CCI"
"86","Quma","GS_ext_heat",94.3794907440336,1.39236476772016,285.142499766301,1.49800667629757,-5.54247683096693,0.534170752296995,297.320566078618,1.73775394217109,285.142499766301,1.49800667629757,272.964433453983,2.05508400131311,"Percentage"
